XCoord,YCoord,RED,GREEN,BLUE,NIR,LCCODE
392440.4576,4802929.464,188,170,151,68,3
392517.4789,4802961.593,222,207,185,173,3
392488.2633,4802983.283,219,203,181,115,3
392417.1962,4802888.249,181,163,145,58,3
392093.2064,4802801.316,66,68,87,13,1
392187.4014,4802819.739,133,131,138,20,1
392259.0373,4802841.122,87,84,97,15,1
392467.5076,4802880.951,221,205,184,120,3
392334.8637,4802850.278,150,131,117,36,3
392350.1787,4802801.951,178,159,142,61,3
392375.3797,4802773.826,207,190,169,92,3
392299.5974,4802765.07,166,149,134,59,3
392001.8873,4802636.429,87,84,93,15,1
392182.1822,4802656.077,116,109,114,17,1
392173.4496,4802708.199,74,76,93,15,1
392133.3001,4802753.025,171,162,157,32,1
392396.2485,4802746.636,220,203,183,114,3
392304.4609,4802742.9,150,143,131,64,3
392341.4657,4802718.918,197,179,160,102,3
392331.9592,4802667.953,213,196,177,120,3
392289.8351,4802670.79,177,158,143,66,3
392232.4642,4802644.414,151,139,124,47,3
392040.3788,4802542.243,97,99,112,18,1
391976.1361,4802548.468,174,178,169,51,1
392102.2368,4802604.503,80,87,99,15,1
392225.6129,4802596.438,178,160,143,66,3
392261.9972,4802560.769,209,192,172,99,3
392287.0471,4802550.406,215,199,179,113,3
392190.1271,4802506.168,164,146,131,51,3
392041.8913,4802419.189,143,146,161,15,1
391987.5971,4802449.514,76,74,86,13,1
391941.9685,4802477.969,191,198,194,127,1
392134.5137,4802481.063,165,149,133,57,3
392152.671,4802447.416,167,149,133,64,3
392144.8322,4802392.09,167,147,134,46,3
392206.5589,4802418.831,215,201,181,134,3
391857.0868,4802335.501,250,251,241,126,1
391913.4524,4802325.935,84,83,97,14,1
391991.055,4802339.424,82,75,89,12,1
392073.7939,4802353.999,155,136,125,44,3
392083.1002,4802337.821,141,122,113,25,3
392116.6432,4802314.759,213,193,177,100,3
392143.6252,4802289.202,219,198,182,115,3
392018.6594,4802277.334,165,147,134,54,3
391783.7896,4802156.454,201,207,195,77,1
391792.9863,4802242.085,214,226,204,53,1
391884.2357,4802238.892,81,75,91,12,1
392035.9271,4802242.426,165,144,133,43,3
392052.2018,4802227.004,212,194,177,58,3
392065.3372,4802205.566,218,199,182,91,3
392076.899,4802167.258,217,199,183,115,3
392034.7223,4802139.772,217,198,182,52,3
392007.7388,4802138.037,217,199,183,63,3
391994.6255,4802188.067,157,137,127,58,3
391759.412,4802045.937,82,78,93,12,1
391849.1094,4802108.62,80,81,95,10,1
391926.5189,4802071.437,150,134,123,45,3
391979.2032,4802076.227,216,200,182,61,3
392002.1561,4802043.368,217,203,184,119,3
391898.5932,4802010.798,153,137,124,49,3
391567.1805,4801933.776,61,67,90,10,1
391673.6294,4801956.331,232,229,209,58,1
